#lon lat str1 dip1 rake1 str2 dip2 rake2 sc iexp name
89.67 35.36 158 61 -150 52 64 -33 1.819 24 200602260213A
89.67 35.40 60 50 -31 171 67 -136 5.480 23 200603010936A
94.42 24.22 251 70 5 159 85 160 2.736 23 200603021716A
70.77 23.72 224 76 0 134 90 166 1.880 24 200603071820A
73.51 32.62 246 21 61 96 71 101 3.167 23 200603100750A
73.03 34.69 319 35 91 138 55 89 3.094 23 200603190249A
73.57 34.75 185 47 32 72 67 132 7.329 23 200603201740A
93.91 23.33 142 76 -176 51 86 -14 5.855 23 200603252013A
95.62 35.53 297 73 11 204 79 163 1.160 24 200603292338A
73.22 34.52 98 44 57 320 54 117 1.034 23 200604040912A
70.64 23.68 245 31 48 111 67 112 3.520 23 200604061202A
70.35 23.25 238 67 8 145 83 157 2.494 24 200604061759A
89.74 35.46 353 49 -137 231 59 -50 3.175 24 200604140927A
90.67 31.61 325 80 -179 235 89 -10 4.236 24 200604192105A
80.62 41.74 251 37 90 72 53 90 2.928 23 200604281801A
94.30 23.31 15 42 102 180 49 80 2.709 24 200605111722A
92.04 20.54 63 85 -2 153 88 -175 3.209 23 200605301943B
99.26 30.77 321 68 -16 57 75 -158 2.442 23 200606040224A
77.64 40.53 290 35 113 82 58 74 2.356 23 200606081134A
97.49 45.37 359 75 170 91 80 15 5.874 24 200606150649A
97.49 45.36 318 36 113 110 57 74 3.512 23 200606152304A
70.26 23.36 288 35 118 75 60 72 1.902 23 200606230534A
71.70 39.22 283 59 146 32 62 36 5.580 24 200607060357A
96.40 33.07 297 70 -1 27 89 -160 0.863 24 200607172041A
96.27 33.06 302 64 4 210 86 154 2.343 24 200607190953A
96.17 32.99 11 75 -168 278 78 -15 2.333 23 200607231244A
74.67 37.57 126 83 -175 35 85 -7 3.083 24 200608061426A
92.86 24.59 255 61 20 156 73 149 3.859 23 200608122046A
77.43 39.47 296 78 -178 205 88 -12 2.287 23 200608300805A
89.62 35.35 12 39 -105 211 53 -78 1.943 23 200609012008A
