97.88   39.71   169   90   -180   259   90      0    6.340   23   011292B
74.45   35.13   268   86      0   358   90   -176    1.690   24   012492A
95.20   24.18   272   30     43   143   70    113    6.530   23   032592D
94.52   21.12   159   12    -85   334   78    -91    2.760   24   032792A
80.75   36.17    62   52    -11   159   81   -141    4.140   24   040592B
94.57   23.96   281   45     56   145   54    120    4.090   24   041592A
98.97   22.54   354   77   -168   262   79    -13    1.580   25   042392D
98.85   22.40   345   68   -173   252   84    -22    1.930   25   042392E
72.59   37.29   186   45    -55   321   55   -120    5.780   24   051092A
71.27   32.95   237    5     79    68   85     91    1.430   25   052092E
96.03   23.95     8   69   -173   275   83    -21    3.140   25   061592B
81.12   35.18    12   30    -90   192   60    -90    4.140   23   062792A
93.51   21.07   191   33    -75   353   58   -100    8.000   23   070892B
90.20   20.96    79   59     13   342   79    148   11.050   23   070992B
90.30   29.46    10   42    -94   196   49    -86    1.790   25   073092A
96.29   18.88    68   65      7   335   84    155    1.500   24   102892A
70.78   36.57   269   23    144    33   77     71    3.180   24   111292F
94.51   20.43   187   29    -43   317   71   -112    7.610   23   112292C
72.38   38.70   211   33    -49   345   65   -113    3.110   24   112392C
71.86   37.35   219   17   -107    56   74    -85    5.050   24   120492E
88.03   34.67   152   41   -139    29   65    -57    8.150   23   122292D
70.78   36.22    63   37    132   195   63     64   14.050   23   122692D
90.28   30.34    25   48    -57   161   51   -121    8.800   24   011893C
87.64   28.87   161   46   -121    22   52    -62    2.470   25   032093I
87.35   29.03   160   16   -106   357   75    -86    6.000   23   032093L
71.07   35.72   250   41    134    18   62     59    5.860   23   032593D
94.00   23.55    99   44   -169     1   83    -46    5.680   23   040193D
78.15   35.81   269   73    -14     4   77   -163    7.340   23   040893B
77.53   35.19    95   74    -13   188   78   -163    4.160   23   061593D
99.82   27.42   140   33    -55   280   64   -110    1.360   24   071793B
70.81   36.51   354   48   -154   246   71    -45    3.800   24   072393A
70.59   36.35   290   17     89   111   73     90    3.380   25   080993F
70.47   36.48   271   24     73   109   67     98    3.580   26   080993G
70.51   36.16   268   24    121    54   70     77    9.860   24   090493E
71.80   36.48   233   48    144   349   64     48    1.680   25   091893G
76.55   18.11   134   47    112   284   47     68    2.210   25   092993K
