#EVID      lat         lon       depth[km]  erLat[m] erLon[m] erdep[m]   yy mm dd hh mi sec     Mlv T    RMS GAP MDist Nob
201303013  27.401063   91.356427    -3.922   10680.7   4093.5   7570.0 2013 03 01 19 26 26.220  0.9 T  0.055 272  20.2   9
201303014  27.415398   91.393219    11.020     843.7    591.1   4224.1 2013 03 01 19 29 13.451  0.9 T  0.061  96  16.4  15
201303015  27.402702   91.359208    -3.844   10851.6   4136.0   7383.6 2013 03 01 19 31 08.515  0.8 T  0.075 271  19.9   9
201303016  27.417037   91.394616    12.035     789.4    469.1   2527.8 2013 03 01 19 42 58.765  1.5 T  0.104  95  16.3  18
201303017  27.414989   91.396676    12.680    2752.9    800.0   5507.6 2013 03 01 19 46 22.813  0.8 T  0.027 235  16.1   9
201303018  25.250819   92.094646    58.383    5174.2   7628.0   3023.5 2013 03 02 01 30 46.164  5.7 T  0.480 316  42.7  26
201303019  27.418675   91.398782    12.895     743.9    586.4   3632.5 2013 03 02 02 13 31.162  1.7 T  0.061 109  15.9  13
201303020  27.414989   91.393907    12.680    1036.1   1086.3   4201.8 2013 03 02 08 57 09.254  1.7 T  0.031 171  16.4   9
201303021  27.417856   91.394623    11.879    1341.1    549.9   5214.5 2013 03 02 20 14 53.999  0.7 T  0.036  95  16.3  13
201303022  27.040641   89.113330    26.859    2071.3    965.3   1829.3 2013 03 02 21 53 28.695  2.3 T  0.060 286  42.3  18
201303023  27.291298   88.913883    31.781    2739.2   1375.1   4334.5 2013 03 03 00 38 39.030  2.3 T  0.097 287  65.4  14
201303024  26.857973   89.293245    21.352    2265.3   1262.9   1965.7 2013 03 03 22 31 12.448  2.0 T  0.080 299  23.8  16
201303025  27.414579   91.393212    12.777     922.4    631.8   2911.1 2013 03 03 23 28 40.860  1.0 T  0.038 171  16.5  13
201303026  27.580455   91.156819    17.133    2075.0   5890.9   2894.1 2013 03 04 01 58 53.721  0.9 T  0.023 327   3.0   6
201303027  25.576018   91.757043    40.141   19715.4   6676.5   8998.2 2013 03 04 11 39 32.916  3.7 T  0.123 252  10.0  10
201303028  27.400244   91.620760     5.336    2159.3    659.3   3411.8 2013 03 04 13 02 33.847  1.3 T  0.025 214   5.9   8
201303029  27.400244   91.620760     4.477    2065.3   1036.3   3382.9 2013 03 04 13 56 02.145  1.3 T  0.064 253   5.9   7
201303030  27.326931   91.433997    11.488     930.9    449.3   2555.7 2013 03 04 14 27 19.260  1.8 T  0.066  82   9.3  18
201303031  27.435467   91.182257    12.406    1876.2   8700.6   7107.6 2013 03 04 15 07 23.501  1.2 T  0.009 305  18.1   4
201303032  26.066683   91.372428    27.133    1483.2   2290.4   2404.2 2013 03 04 16 05 27.823  4.2 T  0.175 157  74.0  36
201303033  27.417446   91.395311    12.328     839.2    717.0   3117.1 2013 03 04 17 32 25.968  1.3 T  0.039  95  16.2  12
201303034  25.722644   92.420062    41.430   11029.0  11263.6   3216.1 2013 03 04 20 15 03.583  4.6 T  0.352 269  58.9  29
201303035  27.345362   88.816279    41.859    6364.3   2306.9  14112.2 2013 03 04 20 24 52.176  2.5 T  0.134 299  74.9  13
201303036  26.821112   89.407915    24.516    5190.9   1481.1   3099.9 2013 03 04 23 45 32.355  1.5 T  0.073 302  16.1  11
201303037  26.942754   89.191033    26.996     658.2    912.7    917.1 2013 03 05 15 09 24.010  2.8 T  0.104 192  32.7  22
201303038  25.496561   91.003420    31.586    1809.6   2064.2   3607.2 2013 03 05 20 30 46.647  3.2 T  0.164 248  85.8  12
201303039  27.204060   88.926869    24.809     740.6    795.2   1518.9 2013 03 06 02 24 53.937  3.3 T  0.138 159  56.4  25
201303040  27.656226   91.353562    20.238     899.7   1329.5   1688.2 2013 03 06 12 07 46.717  1.5 T  0.051 179   8.4  10
201303041  27.456765   88.543183    33.422    5845.5   2576.3  11742.0 2013 03 07 16 25 37.196  3.2 T  0.148 211  25.3  13
201303042  27.598476   91.359351    17.680    1617.8   3000.7   5112.1 2013 03 07 18 12 14.828  0.8 T  0.025 129  11.9   6
201303043  27.074226   89.081177    27.289    3127.5   1655.5   3038.6 2013 03 07 18 43 05.477  1.9 T  0.040 299  45.4  12
201303044  26.323074   90.509339    32.797     680.9   1210.4   4133.3 2013 03 08 06 04 32.563  3.5 T  0.222 180  75.8  21
201303045  26.771144   89.965767    20.961     638.1   1513.8   1399.6 2013 03 08 14 11 27.109  2.5 T  0.079 218  30.1  18
201303046  26.990674   89.203575    30.961    2801.3    801.3   2477.5 2013 03 09 11 39 28.069  2.5 T  0.075 286  32.3  18
201303047  26.838723   89.495188    31.293    2264.7    977.1   1205.8 2013 03 09 22 57 07.591  1.3 T  0.095 294   7.6  16
201303048  27.244607   91.340017     9.477     818.9    682.5   3045.6 2013 03 10 04 53 00.861  1.6 T  0.160 134  14.9  11
201303049  27.655816   89.709039    11.195    3246.6    745.3   5502.7 2013 03 10 15 06 16.107  1.5 T  0.029 175   8.4   6
